Date,Volume,Open,Close,High,Low
2021-11-01 - 2021-11-08,30028368,84.06,95,95.58,82.1326
2021-10-25 - 2021-11-01,23838004,89.05,83.67,94.29,83.06
2021-10-18 - 2021-10-25,22876691,99.55,88.92,102.02,88.5
2021-10-11 - 2021-10-18,31884980,93.25,99.08,104.3,92.85
2021-10-04 - 2021-10-11,26690099,99.82,94.01,100.29,92.31
2021-09-27 - 2021-10-04,29639384,85.876,96.22,97,83.75
2021-09-24 - 2021-10-01,4146664,90.54,88.15,91.53,87.58
2021-09-20 - 2021-09-27,28809087,92.86,90.67,96.55,87.55
2021-09-13 - 2021-09-20,26393879,96.89,94.55,99.68,91.61
2021-09-06 - 2021-09-13,30995150,102.1512,100.73,104.86,96.645
2021-08-31 - 2021-09-07,34456466,106.29,103.75,109,101.26
2021-08-25 - 2021-09-01,33485107,100.3,102.23,109.79,100
2021-08-23 - 2021-08-30,22326262,94.3,100.02,101.17,90.17
2021-08-16 - 2021-08-23,75876503,79,94.63,99.77,76.38
2021-08-09 - 2021-08-16,39336338,82.64,77.29,83.07,74.12
2021-08-02 - 2021-08-09,21010925,88.4,84.38,95.51,83.68
2021-07-26 - 2021-08-02,24836050,91.72,87.45,93.19,86.06
2021-07-19 - 2021-07-26,83126805,89.74,91.61,96.38,77.66
2021-07-12 - 2021-07-19,33920371,105.7338,97.31,106.25,95.97
2021-07-05 - 2021-07-12,30304071,110.52,107.45,114.88,105.46
2021-06-29 - 2021-07-06,33409786,115.44,111.07,115.44,103.3
2021-06-24 - 2021-07-01,12915050,128.02,119.2,128.6,118.03
2021-06-21 - 2021-06-28,24459617,127.32,127.02,133.81,122.56
2021-06-14 - 2021-06-21,31251107,124.43,127.6,130.47,116.97
2021-06-07 - 2021-06-14,27548231,122.01,124.97,128.67,119.15
2021-05-31 - 2021-06-07,26822236,130.01,121.97,131.69,120.96
2021-05-25 - 2021-06-01,37391772,132.545,132.17,143.11,131.51
2021-05-17 - 2021-05-24,53254719,130.71,124.88,137.23,119.05
2021-05-10 - 2021-05-17,24995413,117.345,129.29,132.99,115.27
2021-05-03 - 2021-05-10,44366099,127.5,118.33,128.86,112.33
2021-04-26 - 2021-05-03,17614151,133.0524,133.79,137.8,129.4091
2021-04-19 - 2021-04-26,18159604,135.21,133.93,144.3487,133.33
2021-04-12 - 2021-04-19,26989038,132.99,138.61,140.33,122.97
2021-04-05 - 2021-04-12,22319463,135.98,133.32,138.47,131.01
2021-03-29 - 2021-04-05,27731065,143.75,137.62,152.06,136.02
2021-03-25 - 2021-04-01,11108994,141.012,143.93,147.45,140.7
2021-03-22 - 2021-03-29,18881623,130.75,133.88,138.99,128.61
2021-03-15 - 2021-03-22,64820647,142.145,131.29,142.48,121.22
2021-03-08 - 2021-03-15,41026876,158.7,141.8,169.45,138.2
2021-03-01 - 2021-03-08,48781196,153.15,161.06,164.05,136
2021-02-22 - 2021-03-01,39826466,181.5,156.82,188.07,148.84
2021-02-15 - 2021-02-22,36815845,189.99,171.16,196.44,166.22
2021-02-09 - 2021-02-16,21145030,211.6,195.98,212.5965,192.03
2021-02-01 - 2021-02-08,21073361,197.0683,196.59,208.0999,187.52
2021-01-25 - 2021-02-01,30443249,173.53,196.16,204.775,169.45
2021-01-18 - 2021-01-25,30413635,181.45,165.71,195.11,164.64
2021-01-12 - 2021-01-19,21679127,166.89,171.89,181.7,166.55
2021-01-04 - 2021-01-11,38256030,170.94,161.2,174.89,157.8
2020-12-28 - 2021-01-04,53129282,176.75,180.77,187.7,166.18
2020-12-21 - 2020-12-28,67772595,154.24,177.67,182.68,143.1
2020-12-14 - 2020-12-21,29153265,146.28,152.75,156.98,136.75
2020-12-07 - 2020-12-14,26123630,144.68,149.62,153.41,138.575
2020-11-30 - 2020-12-07,39382894,146.67,147.65,163.1,141.46
2020-11-24 - 2020-12-01,25573086,139.81,146.4,150.95,129.19
2020-11-23 - 2020-11-30,9429302,141.39,138.75,141.79,132
2020-11-16 - 2020-11-23,33819294,145.94,144.05,148.94,133.12
2020-11-09 - 2020-11-16,72815980,146.28,143.55,149.05,128.8
2020-11-02 - 2020-11-09,90627611,112.58,151.7,155.61,96.54
2020-10-26 - 2020-11-02,39075519,91.91,114.53,116.79,88.69
2020-10-19 - 2020-10-26,23084340,86.26,89.98,97.25,85.56
2020-10-12 - 2020-10-19,27174311,84.9,86.91,93.19,83.25
2020-10-05 - 2020-10-12,26316176,81.88,84.02,87.1,79.81
2020-09-28 - 2020-10-05,39358906,72.2,79.54,79.75,69.89
2020-09-24 - 2020-10-01,9229133,74.88,71.4,74.95,71.28
2020-09-21 - 2020-09-28,17837028,75.61,74.15,76.03,72.44
2020-09-14 - 2020-09-21,37839381,77.9,74.33,80.59,72.15
2020-09-07 - 2020-09-14,32157417,85.74,79.81,86.79,77.6
2020-09-01 - 2020-09-08,26552590,81.62,84.74,87.549,79.58
2020-08-25 - 2020-09-01,33957726,89.37,85.04,93.91,80.57
2020-08-24 - 2020-08-31,8052729,89.23,88.94,89.75,87.8
2020-08-17 - 2020-08-24,54889144,85.62,89.2,92.02,82.4
2020-08-10 - 2020-08-17,82340654,90.79,84,98.2,83.36
2020-08-03 - 2020-08-10,22551852,89.41,85.04,91.13,84.01
2020-07-27 - 2020-08-03,30275128,92.97,88.2,98.43,87.32
2020-07-20 - 2020-07-27,33082124,79.27,91.56,92.65,77.53
2020-07-13 - 2020-07-20,35739752,81.27,78.95,87.27,76
2020-07-06 - 2020-07-13,43694300,92.805,82.47,94.94,80.09
2020-06-29 - 2020-07-06,61965719,97.68,87.3,98.96,83.3
2020-06-24 - 2020-07-01,25651890,86.14,93,95.48,83
2020-06-22 - 2020-06-29,12338051,84.74,85.91,90.48,83.405
2020-06-15 - 2020-06-22,42359625,88.39,85.18,88.56,80.62
2020-06-08 - 2020-06-15,54355658,74.32,87.66,89.25,72.31
2020-06-01 - 2020-06-08,33001280,70.9534,73.11,75.33,67.07
2020-05-25 - 2020-06-01,35038779,65.9,69.7,73.17,64.8
2020-05-19 - 2020-05-26,36796910,64.9,66.905,69.67,59.56
2020-05-11 - 2020-05-18,62785292,62.59,68.9,69.5,57.02
2020-05-04 - 2020-05-11,38497750,54.5,61.3,62.91,53.84
2020-04-27 - 2020-05-04,28137645,46.04,54.6,55.12,45.08
2020-04-24 - 2020-05-01,5382554,46.47,45.43,46.97,44.8
2020-04-20 - 2020-04-27,19978705,51.09,47.44,51.88,46.75
2020-04-13 - 2020-04-20,17027545,45.24,50.205,51.48,45.07
2020-04-06 - 2020-04-13,29468682,40.9735,44.11,46.49,40.8
2020-03-30 - 2020-04-06,35481750,37.635,41.04,41.83,37.41
2020-03-25 - 2020-04-01,20351618,35.75,36.59,37.65,33.9
2020-03-23 - 2020-03-30,7687068,35.32,36.02,36.71,35.24
2020-03-16 - 2020-03-23,26715525,34.075,35.54,38.78,32.66
2020-03-09 - 2020-03-16,30495467,31.1497,33.755,35.73,30.2
2020-03-02 - 2020-03-09,57842579,36.76,33.56,38.13,32.5
2020-02-24 - 2020-03-02,31474719,36.97,36.58,37.6,35.29
2020-02-17 - 2020-02-24,50333406,32.989,35.33,35.84,32.82
2020-02-10 - 2020-02-17,28044341,37.12,34.47,37.6796,34.47
2020-02-04 - 2020-02-11,21331695,34.93,37.135,37.72,34.75
2020-01-27 - 2020-02-03,20123019,35.22,36.195,37.29,34.37
2020-01-20 - 2020-01-27,21251376,35.3279,35.06,37.51,34.6
2020-01-13 - 2020-01-20,22466706,39.43,37.11,40.739,36.58
2020-01-06 - 2020-01-13,29231710,38.42,39.47,40.46,37.69
2019-12-30 - 2020-01-06,26579163,40.13,38.26,41.85,37.81
2019-12-25 - 2020-01-01,14530426,37.82,40.75,41.65,37.6
2019-12-23 - 2019-12-30,4127593,39.24,37.875,39.62,37.6
2019-12-16 - 2019-12-23,9503333,37.24,39.23,39.51,37
2019-12-09 - 2019-12-16,16511697,36.86,37.39,39.33,36.7
2019-12-02 - 2019-12-09,16814798,37.4,36.53,38.79,36.51
2019-11-25 - 2019-12-02,21040232,35.72,37.64,37.7,34.51
2019-11-18 - 2019-11-25,35494281,35.1042,35.98,37.78,35
2019-11-11 - 2019-11-18,97258266,43.33,34.11,43.36,30.26
2019-11-04 - 2019-11-11,22186576,42.39,42.74,43.09,40.01
2019-10-28 - 2019-11-04,22959777,42.3499,43.185,45.23,41.96
2019-10-25 - 2019-11-01,5057477,41.75,41.33,42.43,41.2
2019-10-21 - 2019-10-28,22113157,41.3172,40.58,42.85,39.53
2019-10-14 - 2019-10-21,38985413,33.93,40.795,41.99,33.66
2019-10-07 - 2019-10-14,15446368,32.745,33.435,34.64,32.47
2019-09-30 - 2019-10-07,19778309,33.1,32.91,33.38,30.65
2019-09-24 - 2019-10-01,12549047,32.56,33.33,33.37,31.77
2019-09-23 - 2019-09-30,5487762,32.05,32.21,32.58,31.31
2019-09-16 - 2019-09-23,55708829,33.72,31.025,35.105,30.02
2019-09-09 - 2019-09-16,25902216,35.44,33.98,35.71,33.16
2019-09-02 - 2019-09-09,25285506,35.175,35.905,36.79,33.73
2019-08-27 - 2019-09-03,22010403,32.51,35.22,35.86,32.5
2019-08-19 - 2019-08-26,39360880,29.99,32.685,33.88,29.95
2019-08-12 - 2019-08-19,83782654,25.56,29.6,30.98,25.3009
2019-08-05 - 2019-08-12,26267477,22.4,25.03,25.1,22.11
2019-07-29 - 2019-08-05,21553502,22.27,22.635,23.19,21.23
2019-07-25 - 2019-08-01,17970541,22.35,23.025,23.685,22.2
2019-07-22 - 2019-07-29,10520893,21.8131,22.395,22.8,21.46
2019-07-15 - 2019-07-22,18334487,20.02,21.7591,22.07,19.97
2019-07-08 - 2019-07-15,23083217,19.43,20.065,20.385,19.25
2019-07-01 - 2019-07-08,26801943,19.925,19.125,20.63,19.11
2019-06-24 - 2019-07-01,18954686,21.39,20.285,21.7,19.8
2019-06-17 - 2019-06-24,19134841,20.8001,20.505,21.14,20.2646
2019-06-10 - 2019-06-17,19812074,20.51,20.96,21.57,19.93
2019-06-03 - 2019-06-10,17114849,19.78,20.515,21.08,19.78
2019-05-27 - 2019-06-03,19609293,19.38,19.8,20.13,18.46
2019-05-21 - 2019-05-28,18299482,20.5,19.365,20.51,19.12
2019-05-13 - 2019-05-20,51895294,21.38,20.28,21.92,19.95
2019-05-06 - 2019-05-13,40722861,21.4601,22.67,23.4,20.64
2019-04-29 - 2019-05-06,27543372,22.485,22.445,23.74,21.61
2019-04-24 - 2019-05-01,13861630,22.145,23.94,24,21.6
2019-04-22 - 2019-04-29,7663189,22,22.13,22.47,21.95
2019-04-15 - 2019-04-22,31854295,23.3,21.865,24.8111,21.76
2019-04-08 - 2019-04-15,22103160,21.94,23.63,23.725,21.51
2019-04-01 - 2019-04-08,32059664,21.7715,21.69,23.3,21.4
2019-03-25 - 2019-04-01,52242845,25.6,21.51,25.63,21.3
2019-03-19 - 2019-03-26,21910256,23.8,24.735,25.085,23.09
2019-03-11 - 2019-03-18,44808869,24.52,23.62,26.44,23.17
2019-03-04 - 2019-03-11,101401054,29.43,24.83,31.17,24.39
2019-02-25 - 2019-03-04,29063600,30.139999,28.459999,31.99,28.01
2019-02-22 - 2019-03-01,6119800,30.27,29.99,30.790001,29.879999
2019-02-18 - 2019-02-25,50016000,30.700001,29.940001,31,28.15
2019-02-12 - 2019-02-19,28583900,27.870001,29.379999,30,27.52
2019-02-04 - 2019-02-11,38839600,26.780001,27.52,28.08,26.530001
2019-01-28 - 2019-02-04,56853500,29.049999,25.950001,31.18,25.5
2019-01-25 - 2019-02-01,4183100,28.93,28.959999,30.879999,28.92
2019-01-21 - 2019-01-28,18699100,28.35,29.209999,30.4,28.209999
2019-01-15 - 2019-01-22,29298300,24,29.5,29.549999,23.889999
2019-01-07 - 2019-01-14,24865800,25.379999,24.99,25.799999,23.52
2018-12-31 - 2019-01-07,21213400,22.860001,26.16,26.700001,22.690001
2018-12-26 - 2019-01-02,9809700,22,22.690001,23.450001,21.5
2018-12-24 - 2018-12-31,1444500,22.52,22.440001,22.68,21.799999
2018-12-17 - 2018-12-24,7042100,20.84,22.059999,22.629999,20.76
2018-12-10 - 2018-12-17,16577800,22.690001,21.129999,23.18,20.5
2018-12-03 - 2018-12-10,19807400,21,23.1,23.379999,19.92
2018-11-26 - 2018-12-03,20077700,24.33,20.610001,25,20.049999
2018-11-19 - 2018-11-26,21740600,22.9,22.959999,23.43,20.85
2018-11-12 - 2018-11-19,39166400,20.43,22.5,24.59,18.610001
2018-11-05 - 2018-11-12,53210300,18.34,20.83,20.959999,16.530001
2018-10-29 - 2018-11-05,19489500,20.190001,18.309999,21.389999,18.01
2018-10-25 - 2018-11-01,24135500,17.860001,20.370001,21.780001,17.860001
2018-10-22 - 2018-10-29,14900000,18.620001,17.65,18.93,17
2018-10-15 - 2018-10-22,33230700,19.700001,18.200001,20.09,17.25
2018-10-08 - 2018-10-15,22061400,21.280001,18.68,21.879999,18.209999
2018-10-01 - 2018-10-08,27573600,20.610001,21.620001,22.879999,20.030001
2018-09-24 - 2018-10-01,27648000,26.23,21.780001,28.18,20.5
2018-09-17 - 2018-09-24,18762200,24.76,26.290001,27.799999,24.219999
2018-09-10 - 2018-09-17,30026700,25.98,25.6,27.879999,22.309999
2018-09-03 - 2018-09-10,56179500,19.68,26.34,30.48,19.309999
2018-08-28 - 2018-09-04,24835400,18.66,19.57,21.18,18.6
2018-08-20 - 2018-08-27,35209300,17.700001,19.35,21.24,17.5
2018-08-13 - 2018-08-20,23884700,18.82,17.219999,19.5,17.200001
2018-08-06 - 2018-08-13,30634600,19.209999,19,20.1,17.58
2018-07-30 - 2018-08-06,27032700,19.219999,19.51,21.9,18.92
